;Site;Auteur;dateComm;dateSejour;Localisation;Note;Titre;Avis
18;Disney Hotel New York - The Art of Marvel;coconuts;decembre 2021;septembre 2016;Paris France;4;La déco et le lieu est magique;Venant moi même de l’hôtellerie, j’admets que j’avais particulièrement hâte de ce séjour!  L’équipe de réception et de conciergerie est au top, surtout avec une demande aussi importante.  Quelques petits détails sur la chambre assez étonnant (savons pas recharger et cheveux dans la salle de bain), mais au nombre de chambres par étages c’est vraiment du détail.  Surtout quand tout le reste était extrêmement propre !!
19;Disney Hotel New York - The Art of Marvel;Michael L.;septembre 2022;septembre 2016;;4;Séjour professionnel, septembre octobre 2022;Après 3 semaines de séjour, c'est sans doute l'hotel au meilleur rapport qualité prix à Mariveles. Style moderne. Chambre et salle de bain spacieuses. Un personnel adorable et toujours serviable. Le restaurant est sympa. L'hotel est principalement fréquenté par des clients en séjour professionel. Points négatifs: - Manque d'armoire de rangement dans les chambres. - Clim un peu insuffisante dans les chambres de l'étage supérieur, surtout les jours de forte chaleur.  J'y retourne très bientôt, avec grand plaisir.  Michael L.
20;Disney Hotel New York - The Art of Marvel;Linda G;octobre 2022;septembre 2016;;5;Escapade en amoureux;Accueil très   chaleureux.   personnel souriant aux petits soins. La chambre est très belle avec une grande terrasse agréable avec salon de jardin pour se poser. ,Le petit déjeuner est  copieux. Endroit calme et paisible. Un grand merci à toute k équipe
21;Disney Hotel New York - The Art of Marvel;Dupont A;septembre 2022;septembre 2016;Bruxelles Belgique;5;Incroyable décoration mêlant l'ambiance architecturale new-yorkaise et l'univers MARVEL;"Deux jours une nuit à Disney. Hôtel magnifique à l'intérieur. Entièrement rénové et décoré à la perfection! Logement en suite Avengers pour 5 personnes. Suite extrêmement spacieuse et comfortable. Salle de bain au top. Goodies offerts dans la chambre : champagne + peluches, sacs à dos, gourdes pour les kids... et clés de l'hôtel pour les parents. Les chambres sont très confortables et hyper propres. Le plus après une journée dans le parc, la piscine intérieure / extérieure super belle, propre et surveillée. Serviettes fournies. Déjeuner top pour les clients ""club"". Restaurant de l'hôtel aux prix prohibitifs le soir. A recommander mais budget élevé."
22;Disney Hotel New York - The Art of Marvel;Paceman9;septembre 2022;septembre 2016;Villeurbanne France;3;bien mais peut mieux faire.;globalement c'est bien mais des choses a revoir. L'hôtel est beau. Les chambres sont grandes, la salle de bain par contre un peu petite et il manque un chauffe-serviette et une brosse wc (et les finitions de peinture sont moyens). il est dommage à la boutique de retrouver beaucoup de choses identique au parc. ça manque aussi d'un petit stand de gourmandises sur le thème du parc. il faudrait proposer des chambres standards avec 1 seul lit, ce serait mieux quand on est seul. Par contre que l'hôtel possède des chambres pmr est normal mais ne les donner pas à des personnes valides, au prix du séjour c'est vraiment inadmissible, heureusement que j'ai pu changer et avoir une vraie chambre.
23;Disney Hotel New York - The Art of Marvel;Clo1260;septembre 2022;septembre 2016;Nyon Suisse;4;Très bon séjour ;Nous avons séjourné 2 nuits à l'hôtel Disney's New York Marvel et nous avons été satisfaits de notre séjour.  L'hôtel est magnifique et très bien rénové. Les chambres sont modernes, fonctionnelles, très bien décorées.  Point négatif cependant, nous étions au troisième étage et entendions le bruit du restaurant qui se trouve au rez-de-chaussée. C'est assez désagréable, surtout que cela dur toute la journée et surtout jusqu'à 2 voir 3h du matin et que cela reprend à 7h.  Nous en avons fait part à la réception, qui nous a proposé de nous changer de chambre pour une catégorie supérieure étant donné que l'hôtel était complet à cette période. Comme il était déjà tard et que notre fils était sur le point de se coucher, nous avons décliné la proposition. Il nous a alors été offert un…
24;Disney Hotel New York - The Art of Marvel;tibaba974;aout 2022;septembre 2016;La Réunion;4;très belle déco Marvel;très bon accueil à la réception où on a pu récupérer nos Magic pass ( carte d'accès à la chambre et aux deux parcs ). Hôtel ayant pris un sérieux coup de jeune avec la thématisation Marvel ( de nombreux tableaux , un accès privilégié pour des photos avec les héros , un bar Sky line très sympa  avec son écran géant animé ). La chambre joliment décorée et feutrée, écran TV géant , twins bed très confortables, sdb un peu petite mais ça va...) . Pdj bon et varié ( tout en self même les boissons chaudes ). l'Hôtel est raccord avec l'Avengers Campus,  à eux deux ils nous ont fait vivre une nouvelle expérience à Disneyland Paris.   
25;Disney Hotel New York - The Art of Marvel;Murhart;juin 2022;septembre 2016;Vence France;5;La magie de disney;C’est un pur bonheur. La chambre est propre, le personnel attentionné. Il a y des détails attentionnés dans la chambre.  La proximité entre l’hôtel et le parc est un plus. Nous avons pu rencontrer Spiderman dans l’hôtel. Mention spéciale pour le bar de l’hôtel qui vaut le détour, les enfants sont émerveillés.
26;Disney Hotel New York - The Art of Marvel;Gabriel S;aout 2022;septembre 2016;;5;Anniversaire 🎂 🎁 de notre fils;Pour les 12 ans de notre fils nous sommes partis 4 jours à l'hôtel Disney Marvel New York.  C est la troisième fois que nous venons et à chaque fois nous sommes émerveillés !!! Très bel hôtel, la conciergerie avait préparé l anniversaire 🎂 de notre fils sur le thème de Spiderman, c était magnifique !! L arrivée du gâteau sur un chariot avec ballon et jouet , notre fils était aux anges !! Nous reviendrons pour Noël car la décoration pour les fêtes est sublime.
27;Disney Hotel New York - The Art of Marvel;charly c;juillet 2022;septembre 2016;;5;Allez y très vite !;Séjour pour fêter les trente ans de mon Fils. Un vrai rêve ! Tout étais parfais. Propreté irréprochable de la chambre, literie confortable, salle de bain spacieuse et fonctionnelle. La cerise sur la chantilly est la gentillesse, et le professionnalisme du personnel, que nous remercions sincèrement. Nous n'avons qu'un hâte, y retourner !
28;Disney Hotel New York - The Art of Marvel;Bovy A;aout 2022;septembre 2016;;4;Belle Hotel, mais gros soucis,...;Nous venons de passer le weekend avec une nuitée et accès aux 2 pars.  afin de pouvoir faire la surprise à notre fils de 9 ans, fan des supers héros, nous avons débourser la somme qu'il fallait pour pouvoir loger au New York Hotel qui d'après leur site, permettait la rencontre de supers héros.  Autrefois, lors des petits déjeuner, nous pouvions bénéficier de la rencontre de plusieurs personnages Disney, mais le COVID est une très bonne excuse pour en faire moins.  Résultat des courses, en logeant dans ce nouvel hotel certes avec un design soigné, nous n'avons pu voir qu'un seul héro uniquement moyennant prise d'un rendez-vous via l'application et selon les tranches horaires encore disponible soit 15h45 ce qui implique de devoir quitté le parc prématurément pour revenir à l'hotel…
29;Disney Hotel New York - The Art of Marvel;Lodie0004;aout 2022;septembre 2016;;1;Très dessus;Au prix de la nuit et vue  l'état de la chambre passait votre chemin . Même pas une excuse lors de notre réclamation , on a attendu 1h pour au final ne pas voir de personnels venir nettoyage nous avons descendre avec notre fils de 5ans et nos affaires pour que quelqu'un fasse le nécessaire et la ce jour ,alors que nous ne sommes plus la on nous offre un repas c'est une blague .vue l'état de la chambre 4* je n'ose pas imaginer l'état des cuisine . Disneyland Paris fini pour nous et on fera une très bonne pub pour votre hôtel
30;Disney Hotel New York - The Art of Marvel;Mely2834;aout 2022;septembre 2016;Meze France;5;Génial;Un séjour magique dans cet hôtel flambant neuf , chambre très confortable, spacieuse. Une piscine magnifique. Le personnel est au petit soin . Un club dessin junior superbe. Bref un séjour inoubliable ! L hotel est à côté du village disney et très pres des parcs . Je recommande à 100%
31;Disney Hotel New York - The Art of Marvel;Vinsanely;aout 2022;septembre 2016;Metz France;5;Magique!;Cadre féerique, digne d'un film. Dépaysement garantie! Un séjour des plus magique dans cet hôtel incroyable. Propreté et calme au rendez-vous, vu incroyable sur l'extérieur. Confort inégalable et services à la personne au top. Je recommande vivement ! Petit bémol, le temps accessible à la chambre n'excédant pas 20h pour un séjour de deux jours. 
32;Disney Hotel New York - The Art of Marvel;emilie p;aout 2022;septembre 2016;Riedisheim France;5;Séjour magique dans un suite Spider Man;Pour notre première fois à Disneyland nous avons séjourné 2 nuits en famille dans une suite Spider Man. La suite est magnifique, très élégante, décorée avec goût et fidèle à son thème. La literie est plus que confortable aussi bien pour les parents que les enfants. Il y a deux salles de bains avec tout le nécessaire. Les enfants ont reçus plusieurs cadeaux dans la chambre.  Le personnel est aux petits soins, à la réception qui a fait des miracles pour nous trouver une place à l’auberge de Cendrillon et au restaurant Manhattan. Je contredis d’ailleurs un des commentaires précédents, nos trois enfants ont adoré aussi bien le restaurant que les petits déjeuners et goûters. Ils ont mangé entre autre des lasagnes, de la glace, salade de fruit. Tout est de qualité, frais, présenté…
33;Disney Hotel New York - The Art of Marvel;Pamelab;aout 2022;septembre 2016;;5;Magnifique;Tout était magnifique, merci mille fois.  Nous séjournions en suite super héros, empire State club.  Les points positifs :  - l’accueil personnalisé en petit lounge privé  - la suite incroyable, parfaitement propre, hyper moderne, truffée de petites attentions, notamment pour les enfants qui ont adoré leurs cadeaux. - trés bon petit déjeuner, le service irréprochable  - l’espacé piscine est magnifique, parfaitement propre, agréable et très sécurisé  - mention spéciale pour les pâtisseries du goûter au lounge empire State club, elles étaient absolument délicieuses !  LE point négatif :  Absence de saumon au petit déjeuner, ce qui devrait être la base pour les personnes ne mangeant pas de viande.   Encore merci pour ce séjour incroyable, on a hâte de revenir.
34;Disney Hotel New York - The Art of Marvel;grgwn;aout 2022;septembre 2016;Bordeaux France;3;Un peu trop cher;Hôtel joliment rénové, les chambres sont très agréables, la salle de bain est vieillotte, dommage... En ce qui concerne le petit déjeuner nous étions dans une salle sans fenêtres qui ressemblait plus à un réfectoire qu'autre chose... Pour le prix, ce n'est pas au niveau d'un quatre étoiles qui est bien trop élevé, même si nous sommes à Disney ! Nous préférons séjourner au Newport bay, même si il est plus loin. 
35;Disney Hotel New York - The Art of Marvel;Tituse;aout 2022;septembre 2016;;5;Fabuleux !;Nous avons passé trois jours fantastiques Hôtel à la hauteur de nos attentes Service exceptionnel chambres superbes, mais surtout le plus important le personnel d’une efficacité redoutable et d’un professionnalisme extra rien à redire tout était exceptionnel
36;Disney Hotel New York - The Art of Marvel;Mhd;juin 2022;septembre 2016;;5;Séjour;Toppppppp c'est un hôtel exceptionnelle rien a dire la bouffe l'accueil la literie top rien à dire c'est vraiment l'énorme je vous jure a ne pas râté surtout la déco le petit déjeuner l'emplacement le service et surtout l'hygiène 10 sur 10 bravo a vous
37;Disney Hotel New York - The Art of Marvel;bigoudi p;octobre 2021;septembre 2016;France;3;Hotel superbe après travaux  empire state club mais services et organisations à revoir;Nous avons été au art of Marvel le 24 octobre comme en chambre avec vue lac et étage privatif la réception est à part moins d attente sauf que pour notre séjour les debuts ont été chaotiques nous avons été directement dans le parc histoire de ne pas perdre de temps nous sommes donc revenus à l hôtel pour 15h et la le calvaire commence nous attendons plus d 1 h30 notre chambre n est pas prête nous sommes la comme des idiots au bout d une heure 30 ont nous propose une chambre d attente standard pour nous rendre a la piscine sauf que nous n'avons pas la clés de chambre résultat nous sommes enfermés sans pouvoir faire quoi que se soit et la je craque je me rends au bureau privé et j explose c est honteux au prix du séjour nous sommes à  l hôtel, pas de chambre pas d attraction pas…
38;Disney Hotel New York - The Art of Marvel;Pouloupoulpou;juillet 2022;septembre 2016;;5;Très confortable ;Chambres d'un confort parfait, décoration superbe, stylée, piscine agréable, accès en 5 min par le village et personnel très souriant et pro. Vu la fréquentation absurde du parc de 11h à 17h: la pause à l'hôtel est bienvenue pour gérer sa journée au mieux.  
39;Disney Hotel New York - The Art of Marvel;bob15011106;juin 2022;septembre 2016;Bonneville France;5;Absolument  fantastique;Wahoo !!!!! Il est superbe !! La décoration est fantastique.  Il y a des détails partout,  des affiches, des objets... c'était splendide !! La chambre classique est déjà  splendide.  Je n'imagine pas les chambres supérieures !! Tout est beau. Le personnel est adorable et les demandes sont toujours prises en compte rapidement.  Nous rêvons déjà d'y retourner !! La piscine est agréable,  surtout après une longue journée sur les parcs.  Le petit déjeuner est gargantuesque et d'assez bonne qualité.  A faire et à  refaire,  encore plus pour les fans marvel
40;Disney Hotel New York - The Art of Marvel;Romain L;juillet 2022;septembre 2016;Monaco;5;Un hôtel de Super-Héros !;De la qualité à tous les étages : chambres, accueil, personnel, nourriture, petit-déjeuner. Propreté, gentillesse, choix, fluidité. Typiquement ce que l’on attend de l’hôtel lorsque nous réservons un séjour à Disneyland Paris. Un sans-faute. Le prix est certainement élevé par rapport à d’autres hôtels du resort mais le surplus en vaut la peine.
41;Disney Hotel New York - The Art of Marvel;Taillou;juillet 2022;septembre 2016;;5;Le luxe façon Marvel;L’hôtel New-York, the Art of Marvel est un régal pour les yeux : les amateurs de de super-héros pourront découvrir une multitude d’œuvres à travers différents styles et artistes. L’architecture rappelle celle de New-York avec ses grands volumes. Les chambres sont spacieuses, propres et lumineuses. Les services sont impeccables : le personnel se plie en 4 afin de vous satisfaire. L’Empire State Lounge (pour les personnes séjournant à l’Empire State Club) offre un endroit calme et reposant pour déjeuner, goûter ou simplement faire une pause pendant la journée. La piscine est grande, profonde, propre et bien surveillée. Sans y séjourner, une simple visite du bâtiment en vaut la peine.
42;Disney Hotel New York - The Art of Marvel;Ninou;juillet 2022;septembre 2016;;5;Magique ;Merci à toute l'équipe de cet hôtel. Tout le monde est très serviable. Séjour magique. De toute évidence nous reviendrons. Chambre propre et thématisé, confort optimal. Toutes les œuvres sont statiques , dommage de ne pas avoir croisé quelques super héros en dehors de la station photo. Un grand merci !
43;Disney Hotel New York - The Art of Marvel;Severine G;juin 2022;septembre 2016;Vallet France;5;Superbe;Hôtel superbe.personnel très courtois et souriant Chambre très propres et spacieuses avec climatisation individuelles Situé juste à quelques pas du parc Je recommande Il mériterait un cinquième etoile
44;Disney Hotel New York - The Art of Marvel;Isaac;fevrier 2022;septembre 2016;Cléguer France;4;Hôtel excellent, mais repas trop gastronomiques.;J'ai séjourner 2 jours/1 nuit avec l'option Empire State Club. La chambre est magnifique et ça se voit quelle est récente. Beaucoup d'activités proposées, aussi bien pour les plus jeunes que les plus grands. Seul bémol: je pense que les repas ne sont pas adaptés aux enfants ( moi-même, j'ai eu du mal à trouver mon bonheur dans les plats proposés).
45;Disney Hotel New York - The Art of Marvel;Sebastien S;juin 2022;septembre 2016;Auvergne-Rhône-Alpes France;5;Un chef d'oeuvre malgré les soucis techniques rencontrés;Alors je vais commencer par les sujets épineux, puis finir avec pourquoi j'ai quand même mis la note maximal. J'ai réservé longtemps en avance pour plusieurs nuits, en espérant de tomber sur l'ouverture du land Campus Avangers (je me suis dis peut être en début été il aurait été ouvert). Arrivé à l’hôtel, le 28 juin, à 16h, pour récupérer ma chambre et déposer mes valises. On m'annonce un petit soucis avec ma chambre, qu'elle n'était pas encore prête et si je pouvais revenir dans une petite heure. J'ai accepté et on m'a proposé de garder mes bagages à la bagagerie de l’hôtel.  1h30 plus tard je suis de retour, pour l'avancé du problème, toujours pas résolu, on me demande de patienter encore une petite demi heure... J'ai voulu récupérer un vêtement dans mon bagage, on me l'a…
46;Disney Hotel New York - The Art of Marvel;Caroline A;juin 2022;septembre 2016;Onesse-et-Laharie France;5;Super héros;Quel bel hôtel très bien restauré. Notre petit garçon a eu des étoiles pleins les yeux en y rentrant.  Les chambres sont magnifiques. Le petit dej très copieux. Le personnels est adorable et à l’écoute. L’accès au parc à pied se fait facilement.
47;Disney Hotel New York - The Art of Marvel;Lucas;juin 2022;septembre 2016;;5;Chambre supérieure;Nous avons reçu un excellent accueil, très bien dirigé et encadré par l’équipe de l’hôtel. Nous ne connaissions pas et nous reviendrons. La chambre est propre et parfaitement équipée ! De quoi profiter d’un très beau séjour à Disney
48;Disney Hotel New York - The Art of Marvel;Kami M;janvier 2022;septembre 2016;Lyon France;5;Très bel endroit, expérience héroïque incroyable pour les petits ;Très bel hôtel, des cast member très agréables, une super héros station pour une immersion dans l'aventure encore plus grand! Les petits comme les grands ont adorés!  Le bar est très beau le passage des héros qui font des petits coucous ont été appréciés, tout comme les cocktails qui étaient très bons. Les chambres supers confortables,  Par contre un peu embêtée par la profondeur de la piscine ... un peu trop profonde pour les petits! 
49;Disney Hotel New York - The Art of Marvel;VinceBoston;mars 2022;septembre 2016;Boston Massachusetts;4;Hotel thématique particulièrement réussi;Superbe décor, chambre confortables mais pas vraiment adpatée pour les familles avec jeunes enfants.. Un coin séparé aurait été préférable. Mention spécial pour le bar très sympa.  Choix d'hotel judicieux pour visiter le parc durant 2/3 jours mais pas plus
50;Disney Hotel New York - The Art of Marvel;TMD;juin 2022;septembre 2016;Martinique;4;Très bien;L hotel est très beau  Le personnel est très attentif et souriant. Les équipements sont beaux Les restaurants sont bons particulièrement celui qui en buffet. Le pdj est vraiment très bon. Le prix reste quand même très élevé…mais bon vous êtes à Disney….
51;Disney Hotel New York - The Art of Marvel;sandrine2910;juin 2022;septembre 2016;Liège Belgique;3;Beau séjour mais un peu décevant;"1ère fois pour moi à Disney pour mes 40 ans et je suis quelque peu déçue que ce soit du parc ou de l'hôtel. Très bel hôtel, très belle chambre, cadre intérieur et extérieur très agréable mais je m'attendais à un peu plus de ""Marvel"". Personnel très gentil et accueil parfait. Petit déjeuner très bien, beaucoup de choix. Nous avons également diner au Manhattan et nous avons beaucoup apprécié le repas.  Par contre sur un séjour de 3 jours 2 nuits. 1 ascenseur en panne peu après notre arrivée et toujours pas réparé à notre départ! Idem pour le gel douche, pot de gel douche vite à notre arrivée et toujours vide à notre départ, heureusement que j'avais le miens! Pour un hôtel de ce standing, on s'attend quand même à mieux."
