pays,titre,note,commentaire,dateSejour,situation,dateCommentaire,photo
Paris France,La déco et le lieu est magique,4,Venant moi même de l’hôtellerie j’admets que j’avais particulièrement hâte de ce séjour!  L’équipe de réception et de conciergerie est au top surtout avec une demande aussi importante.  Quelques petits détails sur la chambre assez étonnant (savons pas recharger et cheveux dans la salle de bain) mais au nombre de chambres par étages c’est vraiment du détail.  Surtout quand tout le reste était extrêmement propre !!,Date du séjour : décembre 2021,,coconuts a écrit un avis (oct. 2022),True
,Séjour professionnel septembre octobre 2022,4,Après 3 semaines de séjour c'est sans doute l'hotel au meilleur rapport qualité prix à Mariveles. Style moderne. Chambre et salle de bain spacieuses. Un personnel adorable et toujours serviable. Le restaurant est sympa. L'hotel est principalement fréquenté par des clients en séjour professionel. Points négatifs: - Manque d'armoire de rangement dans les chambres. - Clim un peu insuffisante dans les chambres de l'étage supérieur surtout les jours de forte chaleur.  J'y retourne très bientôt avec grand plaisir.  Michael L.,Date du séjour : septembre 2022,,Michael L. a écrit un avis (oct. 2022),False
,Escapade en amoureux,5,Accueil très   chaleureux.   personnel souriant aux petits soins. La chambre est très belle avec une grande terrasse agréable avec salon de jardin pour se poser. Le petit déjeuner est  copieux. Endroit calme et paisible. Un grand merci à toute k équipe,Date du séjour : octobre 2022,,Linda G a écrit un avis (oct. 2022),False
Bruxelles Belgique,Incroyable décoration mêlant l'ambiance architecturale new-yorkaise et l'univers MARVEL,5,"Deux jours une nuit à Disney. Hôtel magnifique à l'intérieur. Entièrement rénové et décoré à la perfection! Logement en suite Avengers pour 5 personnes. Suite extrêmement spacieuse et comfortable. Salle de bain au top. Goodies offerts dans la chambre : champagne + peluches sacs à dos gourdes pour les kids... et clés de l'hôtel pour les parents. Les chambres sont très confortables et hyper propres. Le plus après une journée dans le parc la piscine intérieure / extérieure super belle propre et surveillée. Serviettes fournies. Déjeuner top pour les clients ""club"". Restaurant de l'hôtel aux prix prohibitifs le soir. A recommander mais budget élevé.",Date du séjour : septembre 2022,,Dupont A a écrit un avis (oct. 2022),False
Villeurbanne France,bien mais peut mieux faire.,3,globalement c'est bien mais des choses a revoir. L'hôtel est beau. Les chambres sont grandes la salle de bain par contre un peu petite et il manque un chauffe-serviette et une brosse wc (et les finitions de peinture sont moyens). il est dommage à la boutique de retrouver beaucoup de choses identique au parc. ça manque aussi d'un petit stand de gourmandises sur le thème du parc. il faudrait proposer des chambres standards avec 1 seul lit ce serait mieux quand on est seul. Par contre que l'hôtel possède des chambres pmr est normal mais ne les donner pas à des personnes valides au prix du séjour c'est vraiment inadmissible heureusement que j'ai pu changer et avoir une vraie chambre.,Date du séjour : septembre 2022,,Paceman9 a écrit un avis (sept. 2022),False
Nyon Suisse,Très bon séjour ,4,Nous avons séjourné 2 nuits à l'hôtel Disney's New York Marvel et nous avons été satisfaits de notre séjour.  L'hôtel est magnifique et très bien rénové. Les chambres sont modernes fonctionnelles très bien décorées.  Point négatif cependant nous étions au troisième étage et entendions le bruit du restaurant qui se trouve au rez-de-chaussée. C'est assez désagréable surtout que cela dur toute la journée et surtout jusqu'à 2 voir 3h du matin et que cela reprend à 7h.  Nous en avons fait part à la réception qui nous a proposé de nous changer de chambre pour une catégorie supérieure étant donné que l'hôtel était complet à cette période. Comme il était déjà tard et que notre fils était sur le point de se coucher nous avons décliné la proposition. Il nous a alors été offert un…,Date du séjour : septembre 2022,,Clo1260 a écrit un avis (sept. 2022),False
La Réunion,très belle déco Marvel,4,très bon accueil à la réception où on a pu récupérer nos Magic pass ( carte d'accès à la chambre et aux deux parcs ). Hôtel ayant pris un sérieux coup de jeune avec la thématisation Marvel ( de nombreux tableaux  un accès privilégié pour des photos avec les héros  un bar Sky line très sympa  avec son écran géant animé ). La chambre joliment décorée et feutrée écran TV géant  twins bed très confortables sdb un peu petite mais ça va...) . Pdj bon et varié ( tout en self même les boissons chaudes ). l'Hôtel est raccord avec l'Avengers Campus  à eux deux ils nous ont fait vivre une nouvelle expérience à Disneyland Paris.   ,Date du séjour : août 2022,,tibaba974 a écrit un avis (sept. 2022),False
Vence France,La magie de disney,5,C’est un pur bonheur. La chambre est propre le personnel attentionné. Il a y des détails attentionnés dans la chambre.  La proximité entre l’hôtel et le parc est un plus. Nous avons pu rencontrer Spiderman dans l’hôtel. Mention spéciale pour le bar de l’hôtel qui vaut le détour les enfants sont émerveillés.,Date du séjour : juin 2022,,Murhart a écrit un avis (août 2022),True
,Anniversaire 🎂 🎁 de notre fils,5,Pour les 12 ans de notre fils nous sommes partis 4 jours à l'hôtel Disney Marvel New York.  C est la troisième fois que nous venons et à chaque fois nous sommes émerveillés !!! Très bel hôtel la conciergerie avait préparé l anniversaire 🎂 de notre fils sur le thème de Spiderman c était magnifique !! L arrivée du gâteau sur un chariot avec ballon et jouet  notre fils était aux anges !! Nous reviendrons pour Noël car la décoration pour les fêtes est sublime.,Date du séjour : août 2022,,Gabriel S a écrit un avis (août 2022),True
,Allez y très vite !,5,Séjour pour fêter les trente ans de mon Fils. Un vrai rêve ! Tout étais parfais. Propreté irréprochable de la chambre literie confortable salle de bain spacieuse et fonctionnelle. La cerise sur la chantilly est la gentillesse et le professionnalisme du personnel que nous remercions sincèrement. Nous n'avons qu'un hâte y retourner !,Date du séjour : juillet 2022,,charly c a écrit un avis (août 2022),False
