pays,titre,note,commentaire,dateSejour,situation,dateCommentaire,photo
16 contributions,Beau mais hors de prix,3,Beau mais hors de prix,déc. 2022, En couple,décembre 2022,True
2 contributions,Déception,2,Déception,déc. 2022,,décembre 2022,False
Genève Suisse3 contributions,Tout simplement magique ✨,5,Tout simplement magique ✨,déc. 2022, En couple,décembre 2022,False
2 contributions,trop d'attente aux attractions et trop de panne de maintenance,3,trop d'attente aux attractions et trop de panne de maintenance,déc. 2022, En famille,décembre 2022,False
2 contributions,Séjour à Disneyland mot du jour ATTENTE….,3,Séjour à Disneyland mot du jour ATTENTE….,déc. 2022, En famille,décembre 2022,True
1 contribution,Mais où est passée la magie la féerie de Disney?,1,Mais où est passée la magie la féerie de Disney?,déc. 2022, En couple,décembre 2022,False
1 contribution,Féerique comme toujours. ,5,Féerique comme toujours. ,,,décembre 2022,True
1 contribution,trop cher,3,trop cher,déc. 2022, En famille,décembre 2022,False
1 contribution,parfait,5,parfait,déc. 2022, En famille,décembre 2022,False
Paris France16 contributions,Le profit a remplacé la magie,1,Le profit a remplacé la magie,déc. 2022,,décembre 2022,False
1 contribution,Horrible,1,Horrible,sept. 2022, En famille,décembre 2022,False
Collonges France1 contribution,Nuuuul,1,Nuuuul,,,décembre 2022,False
Rodez France1 contribution,Visite pour l'anniversaire de notre fille,4,Visite pour l'anniversaire de notre fille,déc. 2022, En famille,décembre 2022,False
Hénin-Beaumont France13 contributions,Très beau séjour,5,Très beau séjour,déc. 2022, En famille,décembre 2022,True
1 contribution,très beau séjour,5,très beau séjour,déc. 2022, En solo,décembre 2022,False
1 contribution,Aucune organisation,2,Aucune organisation,déc. 2022, En famille,décembre 2022,True
Saint-Gilles France1 contribution,Trop d’attente aux attractions,3,Trop d’attente aux attractions,déc. 2022, En couple,décembre 2022,False
France1 contribution,Racket total et aucune considération,1,Racket total et aucune considération,déc. 2022,,décembre 2022,False
1 contribution,Une paranthèse enchantée,5,Une paranthèse enchantée,déc. 2022, En famille,décembre 2022,False
6 contributions,Prix trop cher,1,Prix trop cher,nov. 2022, En couple,décembre 2022,False
1 contribution,Un goût amer au retour de séjour,3,Un goût amer au retour de séjour,déc. 2022, En couple,décembre 2022,True
1 contribution,Adieu la magie,1,Adieu la magie,déc. 2022, En famille,décembre 2022,True
1 contribution,Pas pour les handi,1,Pas pour les handi,nov. 2022, Voyage d'affaires,décembre 2022,False
3 contributions,Très déçu,1,Très déçu,déc. 2022, En famille,décembre 2022,False
Paris France77 contributions,Attractions top,4,Attractions top,,,décembre 2022,False
Wavre1 contribution,Magique et magnifique saison de Noël !,5,Magique et magnifique saison de Noël !,nov. 2022, En famille,décembre 2022,False
Belgique4 contributions,Parc vieillissant à prix exorbitant,2,Parc vieillissant à prix exorbitant,,,décembre 2022,False
2 contributions,C était mieux avant,1,C était mieux avant,déc. 2022, En couple,décembre 2022,False
12 contributions,Hors de prix,2,Hors de prix,,,décembre 2022,True
Montpellier France1 contribution,Trop d'attente,2,Trop d'attente,déc. 2022, En famille,décembre 2022,False
1 contribution,Séjour 1parc 1 jour,5,Séjour 1parc 1 jour,déc. 2022, Entre amis,décembre 2022,False
Carnac France125 contributions,Parfait ...sauf le soir : Horrible,2,Parfait ...sauf le soir : Horrible,déc. 2022, En famille,décembre 2022,False
2 contributions,Déçue :(,3,Déçue :(,déc. 2022, En couple,décembre 2022,False
14 contributions,Usine à faire de l argent,1,Usine à faire de l argent,,,décembre 2022,False
3 contributions,MAGIQUE,5,MAGIQUE,nov. 2022,,décembre 2022,True
1 contribution,Expérience catastrophique,1,Expérience catastrophique,nov. 2022, En couple,décembre 2022,False
Rodez France49 contributions,Disneyland n'est plus Disneyland Paris,2,Disneyland n'est plus Disneyland Paris,nov. 2022, Entre amis,décembre 2022,True
Bruxelles Belgique5 contributions,Expérience positive - Temps d'attente aux attractions sous-estimé,4,Expérience positive - Temps d'attente aux attractions sous-estimé,nov. 2022, En famille,décembre 2022,False
1 contribution,très moyen,3,très moyen,nov. 2022, Entre amis,novembre 2022,False
France1 contribution,MAGIQUE,5,MAGIQUE,nov. 2022, En couple,novembre 2022,False
1 contribution,super parc d'attraction,5,super parc d'attraction,nov. 2022, En famille,novembre 2022,False
4 contributions,toujours magique !,5,toujours magique !,nov. 2022, En famille,novembre 2022,False
1 contribution,A FUIR AVEC DES PETITS ENFANTS! Discrimination par l'argent  dédain de ses clients,1,A FUIR AVEC DES PETITS ENFANTS! Discrimination par l'argent  dédain de ses clients,nov. 2022, En famille,novembre 2022,False
Paris France3 contributions,La farce de Disneyland ,2,La farce de Disneyland ,,,novembre 2022,False
1 contribution,Scandaleux,1,Scandaleux,nov. 2022, En famille,novembre 2022,False
Paris France2 contributions,DECEPTION,1,DECEPTION,nov. 2022,,novembre 2022,False
Metz France5 contributions,Excellent,5,Excellent,,,novembre 2022,True
1 contribution,Foutage de g****,1,Foutage de g****,nov. 2022, En famille,novembre 2022,False
Cité de Carcassonne France1 contribution,super séjour à l hotel marvel,5,super séjour à l hotel marvel,nov. 2022, En famille,novembre 2022,False
Saint-Malo France19 contributions,La magie reste intacte,5,La magie reste intacte,nov. 2022, En famille,novembre 2022,True
2 contributions,Magnifiqjue séjour grace à la magie de Noêl,4,Magnifiqjue séjour grace à la magie de Noêl,nov. 2022, Entre amis,novembre 2022,False
Ste Cecile Les Vignes2 contributions,Trés bonnes vacances mais...,3,Trés bonnes vacances mais...,nov. 2022, En famille,novembre 2022,False
2 contributions,Nulle,1,Nulle,nov. 2022, En famille,novembre 2022,True
Carcassonne France1 contribution,Toujours plus chère avec moins,3,Toujours plus chère avec moins,nov. 2022, En famille,novembre 2022,False
3 contributions,Impression mitigée ...,3,Impression mitigée ...,nov. 2022, En famille,novembre 2022,False
3 contributions,Magnifique parc billetterie navrante,3,Magnifique parc billetterie navrante,nov. 2022,,novembre 2022,False
Reims France4 contributions,Séjour magique,5,Séjour magique,nov. 2022, En famille,novembre 2022,False
Toronto Canada56 contributions,Cauchemardesque,1,Cauchemardesque,nov. 2022, En famille,novembre 2022,False
1 contribution,Séjour Agréable,4,Séjour Agréable,nov. 2022, Entre amis,novembre 2022,False
Antibes France28 contributions,Disneyland Paris tout simplement FEERIQUE,5,Disneyland Paris tout simplement FEERIQUE,nov. 2022, Entre amis,novembre 2022,False
1 contribution,Une parenthèse enchantée,5,Une parenthèse enchantée,nov. 2022, En famille,novembre 2022,False
Perceneige3 contributions,Peut être dernière visite,3,Peut être dernière visite,nov. 2022, En famille,novembre 2022,False
1 contribution,Vraiment déçue,2,Vraiment déçue,nov. 2022, En famille,novembre 2022,False
3 contributions,Satisfait,4,Satisfait,nov. 2022, En couple,novembre 2022,True
2 contributions,Féerique,5,Féerique,nov. 2022, Entre amis,novembre 2022,True
1 contribution,C’était magnifique,5,C’était magnifique,nov. 2022, En famille,novembre 2022,False
Pernes-Les-Fontaines France49 contributions,Très beau mais trop de monde,3,Très beau mais trop de monde,,,novembre 2022,True
Courbevoie France431 contributions,Magnifique promenade dans des sites magiques,4,Magnifique promenade dans des sites magiques,nov. 2022,,novembre 2022,False
2 contributions,Déçue,2,Déçue,nov. 2022, En famille,novembre 2022,True
1 contribution,Disneyland,3,Disneyland,nov. 2022, En couple,novembre 2022,False
2 contributions,Super journée,4,Super journée,nov. 2022,,novembre 2022,False
Crans-Montana Suisse128 contributions,Déçue,3,Déçue,,,novembre 2022,True
1 contribution,Séjour de 2 jours,3,Séjour de 2 jours,nov. 2022, En famille,novembre 2022,False
1 contribution,Où est passé la magie?,1,Où est passé la magie?,nov. 2022, En famille,novembre 2022,True
2 contributions,décevant,2,décevant,nov. 2022, En famille,novembre 2022,False
gerberoy2 contributions,LAISSER VOTRE HANDICAP A LA MAISON DISNEYLAND N EN VEUX PAS,1,LAISSER VOTRE HANDICAP A LA MAISON DISNEYLAND N EN VEUX PAS,oct. 2022,,novembre 2022,False
Vesoul France1 contribution,L'argent l'argent et... l'argent,1,L'argent l'argent et... l'argent,oct. 2022,,novembre 2022,False
Paris France4 contributions,Honteux,1,Honteux,nov. 2022,,novembre 2022,False
Plaisir France33 contributions,Grosse déception.. ,2,Grosse déception.. ,,,novembre 2022,False
Villerest France25 contributions,10ème séjour,3,10ème séjour,nov. 2022, En famille,novembre 2022,False
14 contributions,week end magique,5,week end magique,nov. 2022, En couple,novembre 2022,False
4 contributions,Je n'y retournerai plus,2,Je n'y retournerai plus,oct. 2022,,novembre 2022,False
9 contributions,Fortement decue,3,Fortement decue,nov. 2022, En famille,novembre 2022,False
La Rochelle France9 contributions,Toujours magique,5,Toujours magique,oct. 2022,,novembre 2022,False
11 contributions,Adieu la magie,2,Adieu la magie,nov. 2022,,novembre 2022,False
Paris France1 contribution,Extrêmement déçue,1,Extrêmement déçue,oct. 2022, En famille,novembre 2022,False
Juan-les-Pins France38 contributions,La magie n’opère plus,3,La magie n’opère plus,nov. 2022, En famille,novembre 2022,True
Locmaria-Plouzané France11 contributions,Séjour au top !,5,Séjour au top !,oct. 2022,,novembre 2022,False
Bruxelles8 contributions,Trop de temps d'attente.,3,Trop de temps d'attente.,nov. 2022, En famille,novembre 2022,False
Publier France1 contribution,Disney peut mieux faire,2,Disney peut mieux faire,nov. 2022, En couple,novembre 2022,False
Luxembourg4 contributions,Énormément de problèmes avec les terminaux de payement.,3,Énormément de problèmes avec les terminaux de payement.,,,novembre 2022,False
1 contribution,Séjour Halloween,3,Séjour Halloween,oct. 2022, En famille,novembre 2022,False
3 contributions,Première visite pour notre fille de  5 ans,4,Première visite pour notre fille de  5 ans,nov. 2022,,novembre 2022,True
Labourse France35 contributions,Haut vol en bande organisée,1,Haut vol en bande organisée,août 2022,,novembre 2022,False
4 contributions,Nouveau passage,3,Nouveau passage,oct. 2022, En couple,novembre 2022,False
Gap France14 contributions,Déception totale,1,Déception totale,,,novembre 2022,False
3 contributions,Mitigé,3,Mitigé,nov. 2022, En famille,novembre 2022,False
Caen France4 contributions,poussette volée au parc Disney,1,poussette volée au parc Disney,nov. 2022,,novembre 2022,False
La Louviere Belgique10 contributions,magique,5,magique,nov. 2022, En famille,novembre 2022,False
1 contribution,Magique et hautement fréquenté,4,Magique et hautement fréquenté,nov. 2022, En famille,novembre 2022,False
Rouen France1 contribution,Honteux,1,Honteux,oct. 2022, En famille,novembre 2022,False
Gourdan-Polignan France42 contributions,Correct mais sur la mauvaise pente,4,Correct mais sur la mauvaise pente,nov. 2022,,novembre 2022,False
3 contributions,Recommande,5,Recommande,nov. 2022, En famille,novembre 2022,False
MONTENOIS1 contribution,Trop d’attente,2,Trop d’attente,nov. 2022, En famille,novembre 2022,False
1 contribution,Toujours aussi magique,5,Toujours aussi magique,nov. 2022, En solo,novembre 2022,False
Caen4 contributions,Très  déçu de la chambre à ce prix,2,Très  déçu de la chambre à ce prix,oct. 2022, En famille,novembre 2022,True
Bouillac France1 contribution,Quelle déception !,1,Quelle déception !,,,novembre 2022,False
Heron Belgique116 contributions,Toujours magique!,5,Toujours magique!,oct. 2022, En famille,novembre 2022,False
1 contribution,La magie de Disney n’existe plus !,1,La magie de Disney n’existe plus !,nov. 2022, En famille,novembre 2022,False
2 contributions,Une fois pas deux…..,1,Une fois pas deux…..,oct. 2022, En famille,novembre 2022,False
Livarot France7 contributions,Mais où est passée la magie,2,Mais où est passée la magie,nov. 2022, En famille,novembre 2022,False
3 contributions,Pas à la hauteur des valeur de Monsieur Disney,1,Pas à la hauteur des valeur de Monsieur Disney,oct. 2022,,novembre 2022,True
1 contribution,attends 2 heures en ligne et profite de 10 minutes.,1,attends 2 heures en ligne et profite de 10 minutes.,oct. 2022, En famille,novembre 2022,False
1 contribution,Halloween : colère et déception,2,Halloween : colère et déception,oct. 2022,,novembre 2022,False
Montpellier France3 contributions,Soirée Halloween 2022 ?? #arnaque,1,Soirée Halloween 2022 ?? #arnaque,oct. 2022,,novembre 2022,False
3 contributions,Disney bondé pendant les vacances,3,Disney bondé pendant les vacances,oct. 2022, En famille,novembre 2022,False
3 contributions,Décevant et hors de prix,1,Décevant et hors de prix,nov. 2022, En famille,novembre 2022,False
1 contribution,Disney a perdu sa magie et sa superbe !!,1,Disney a perdu sa magie et sa superbe !!,oct. 2022, En famille,octobre 2022,True
1 contribution,Bien mais…,2,Bien mais…,oct. 2022, Entre amis,octobre 2022,False
Lyon France1 contribution,Magique féerique,5,Magique féerique,oct. 2022, En couple,octobre 2022,False
1 contribution,Toujours plus haut toujours plus cher,2,Toujours plus haut toujours plus cher,oct. 2022, En famille,octobre 2022,False
1 contribution,Déçu pour une première,2,Déçu pour une première,sept. 2022, En famille,octobre 2022,True
Cabourg France13 contributions,Une journée chère à faire la queue,2,Une journée chère à faire la queue,,,octobre 2022,False
1 contribution,un lieu magique à faire avec les enfants,5,un lieu magique à faire avec les enfants,oct. 2022, En famille,octobre 2022,False
1 contribution,Joie et bonne humeur,5,Joie et bonne humeur,janv. 2022, En famille,octobre 2022,False
10 contributions,Pas terrible,3,Pas terrible,oct. 2022, En famille,octobre 2022,True
Bayeux France1 contribution,Horrible,1,Horrible,oct. 2022, En famille,octobre 2022,False
Coulombs France180 contributions,Bof,2,Bof,,,octobre 2022,True
Alençon France35 contributions,Quand la magie n’est plus !!,1,Quand la magie n’est plus !!,,,octobre 2022,False
Genève Suisse18 contributions,Le temps d'attente gâhce tout!,2,Le temps d'attente gâhce tout!,oct. 2022, En famille,octobre 2022,False
Gard France68 contributions,Magnifique,5,Magnifique,,,octobre 2022,True
Ans Belgique13 contributions,A déconseiller si vous avez un véhicule électrique !,3,A déconseiller si vous avez un véhicule électrique !,oct. 2022, En famille,octobre 2022,False
4 contributions,Un parc en manque de magie de qualité de restauration et des attractions en travaux ou en panne !,1,Un parc en manque de magie de qualité de restauration et des attractions en travaux ou en panne !,oct. 2022, En famille,octobre 2022,False
2 contributions,un moment de magie,5,un moment de magie,oct. 2022, En famille,octobre 2022,False
Saint-Lo France6 contributions,Moment hors du temps ,5,Moment hors du temps ,,,octobre 2022,False
4 contributions,Paris c pas l Amérique,2,Paris c pas l Amérique,oct. 2022, En famille,octobre 2022,True
Le Luc France8 contributions,Une magie de Disney toute relative.,3,Une magie de Disney toute relative.,,,octobre 2022,False
19 contributions,Très décevant et hors de prix,2,Très décevant et hors de prix,oct. 2022, En famille,octobre 2022,False
1 contribution,Billet introuvable,1,Billet introuvable,oct. 2022, En famille,octobre 2022,False
Saint-Amand-Montrond France28 contributions,Nul nul nul,1,Nul nul nul,oct. 2022, En famille,octobre 2022,False
1 contribution,Disneyland bof bof,1,Disneyland bof bof,oct. 2022, En famille,octobre 2022,False
Grenoble France13 contributions,Super séjour,4,Super séjour,oct. 2022,,octobre 2022,False
25 contributions,PLUS JAMAIS,1,PLUS JAMAIS,oct. 2022,,octobre 2022,False
L'Haÿ-les-Roses France1 032 contributions,Livestock! Bétail!,1,Livestock! Bétail!,,,octobre 2022,False
1 contribution,PArfait,4,PArfait,oct. 2022, En famille,octobre 2022,False
egriselles11 contributions,traitement réservé aux handicapés !!! et litige sur la demi-pension !!! SCANDALEUX,1,traitement réservé aux handicapés !!! et litige sur la demi-pension !!! SCANDALEUX,juil. 2022,,octobre 2022,True
3 contributions,Disney parc nul,1,Disney parc nul,oct. 2022, En famille,octobre 2022,False
1 contribution,TRÈS DÉÇU !!!!!!!!!,1,TRÈS DÉÇU !!!!!!!!!,sept. 2022, En couple,octobre 2022,True
1 contribution,La magie du cynisme....,1,La magie du cynisme....,oct. 2022, En famille,octobre 2022,False
1 contribution,Certaines attractions pour les petits fermées,3,Certaines attractions pour les petits fermées,oct. 2022, En famille,octobre 2022,False
2 contributions,Ignoble ! Ce parc devrait être illégal,1,Ignoble ! Ce parc devrait être illégal,oct. 2022, En couple,octobre 2022,False
4 contributions,Journée épouvantable à fuire vivement,1,Journée épouvantable à fuire vivement,oct. 2022, En famille,octobre 2022,False
4 contributions,2 jours en famille,4,2 jours en famille,oct. 2022, En famille,octobre 2022,False
1 contribution,Séjour 30 ans Disneyland Paris,3,Séjour 30 ans Disneyland Paris,oct. 2022, En famille,octobre 2022,False
1 contribution,Trop de monde….,1,Trop de monde….,oct. 2022, En famille,octobre 2022,False
2 contributions,Catastrophe manque d’empathie pour les clients,1,Catastrophe manque d’empathie pour les clients,oct. 2022, En famille,octobre 2022,True
Paris France105 contributions,Le fric roi,2,Le fric roi,,,octobre 2022,True
Sausheim France4 contributions,Déception,2,Déception,oct. 2022, En famille,octobre 2022,False
1 contribution,Accès au parc refusé,1,Accès au parc refusé,oct. 2022, En couple,octobre 2022,False
Saint-Paul Ile de La Réunion1 308 contributions,Du rêve,4,Du rêve,,,octobre 2022,True
Vetroz Suisse3 contributions,Déçue du service,1,Déçue du service,oct. 2022, En famille,octobre 2022,False
1 contribution,Un désastre,1,Un désastre,oct. 2022,,octobre 2022,False
1 contribution,La magie n'est plus au rendez-vous,1,La magie n'est plus au rendez-vous,oct. 2022,,octobre 2022,False
Paris France4 contributions,Horrible,1,Horrible,oct. 2022,,octobre 2022,False
Paris France64 contributions,Horrible,1,Horrible,oct. 2022,,octobre 2022,False
Houyet Belgique249 contributions,séjour à Disney,4,séjour à Disney,oct. 2022,,octobre 2022,True
Stavanger Norvège4 contributions,Trop d'attente,1,Trop d'attente,oct. 2022, En famille,octobre 2022,False
13 contributions,Plus si magique que ça…,3,Plus si magique que ça…,oct. 2022, En famille,octobre 2022,True
2 contributions,Pas terrible,3,Pas terrible,sept. 2022, En famille,octobre 2022,True
1 contribution,PARC 1*,1,PARC 1*,oct. 2022, En couple,octobre 2022,True
Engollon Suisse5 contributions,Le cauchemar pour Halloween,2,Le cauchemar pour Halloween,,,octobre 2022,False
2 contributions,Disneyland perd de sa magie,1,Disneyland perd de sa magie,oct. 2022, Entre amis,octobre 2022,False
Bordeaux France3 contributions,Sympa mais avec quelques lacunes,3,Sympa mais avec quelques lacunes,,,octobre 2022,False
Avignon France385 contributions,Dommage,1,Dommage,oct. 2022,,octobre 2022,False
Paris France4 contributions,Très bien,4,Très bien,,,octobre 2022,False
131 contributions,Il est où le service… il est pas là !!,1,Il est où le service… il est pas là !!,,,octobre 2022,True
2 contributions,Comme du bétail !,2,Comme du bétail !,oct. 2022, En couple,octobre 2022,False
Bonchamp-lès-Laval France1 contribution,DISNEYLAND EN FAMILLE,2,DISNEYLAND EN FAMILLE,oct. 2022,,octobre 2022,False
Lyon France290 contributions,Un manque de respect,2,Un manque de respect,juin 2022,,octobre 2022,False
Sarrebourg France16 contributions,Une fois pas deux !!! A FUIR !!,2,Une fois pas deux !!! A FUIR !!,oct. 2022, En famille,octobre 2022,False
Liege Belgium2 contributions,parc magnifique mais budget plus qu' élevé,4,parc magnifique mais budget plus qu' élevé,sept. 2022, En famille,octobre 2022,False
Saint-Malo France9 contributions,Magique…Magnifique… Mais j’envisage de vendre un rein,4,Magique…Magnifique… Mais j’envisage de vendre un rein,oct. 2022, En famille,octobre 2022,True
Paris France265 contributions,Habituer,4,Habituer,,,octobre 2022,False
Nice France21 contributions,Décevant !,1,Décevant !,oct. 2022,,octobre 2022,False
Lugano Suisse2 contributions,Pratique,4,Pratique,,,octobre 2022,False
Thimister-Clermont Belgium4 contributions,Merveilleux,4,Merveilleux,oct. 2022, En famille,octobre 2022,False
Bruxelles Belgique23 contributions,Excellent séjour pour les 30 ans du parc,4,Excellent séjour pour les 30 ans du parc,sept. 2022,,octobre 2022,False
1 contribution,Terriblement déçus,2,Terriblement déçus,sept. 2022, En famille,octobre 2022,False
Roost-Warendin France8 contributions,DE PLUS EN PLUS DÉCEVANT !,2,DE PLUS EN PLUS DÉCEVANT !,oct. 2022, En couple,octobre 2022,False
Pace France2 contributions,séjour 2 jours et 1 nuit,2,séjour 2 jours et 1 nuit,oct. 2022, En famille,octobre 2022,False
Fauquembergues France23 contributions,Absence borne de recharge véhicule électrique et accessibilité handicap à revoir,2,Absence borne de recharge véhicule électrique et accessibilité handicap à revoir,sept. 2022, Entre amis,octobre 2022,False
Seraing Belgique49 contributions,beaucoup de magie,4,beaucoup de magie,sept. 2022,,octobre 2022,False
6 contributions,Les enfants tellement déçu,1,Les enfants tellement déçu,sept. 2022, En famille,octobre 2022,False
17 contributions,La magie des enfants à quel prix ?!,2,La magie des enfants à quel prix ?!,sept. 2022, En famille,septembre 2022,False
1 contribution,la magie,5,la magie,sept. 2022, En famille,septembre 2022,False
Pontenx-les-Forges France1 contribution,séjour Disney,4,séjour Disney,sept. 2022, En famille,septembre 2022,False
3 contributions,Allez plutôt à port aventura,1,Allez plutôt à port aventura,sept. 2022, En couple,septembre 2022,False
Bulle Suisse1 892 contributions,Bienvenue à la foire aux bestiaux,1,Bienvenue à la foire aux bestiaux,,,septembre 2022,True
Vouziers France8 contributions,Mitigé,3,Mitigé,sept. 2022, En famille,septembre 2022,False
Lille France3 contributions,Nul et pour les ultra riches,1,Nul et pour les ultra riches,sept. 2022, En famille,septembre 2022,False
Plagne Bellecote France5 contributions,Et la magie opère :),5,Et la magie opère :),sept. 2022, En famille,septembre 2022,False
1 contribution,Décus avant même d'y aller,2,Décus avant même d'y aller,sept. 2022,,septembre 2022,False
1 contribution,Attente manège défaillant...,2,Attente manège défaillant...,sept. 2022,,septembre 2022,False
Lisieux France1 contribution,Avis mitigé,3,Avis mitigé,sept. 2022, En famille,septembre 2022,False
1 contribution,A FUIR,1,A FUIR,sept. 2022, En famille,septembre 2022,False
Antibes France42 contributions,decevant,1,decevant,sept. 2022,,septembre 2022,False
Santa Monica Californie14 contributions,Un séjour parfait :,5,Un séjour parfait :,sept. 2022, En solo,septembre 2022,False
1 contribution,PicsousLand retour d’expérience,1,PicsousLand retour d’expérience,,,septembre 2022,False
3 contributions,Pour le prix d un week end l expérience est lamentable!,2,Pour le prix d un week end l expérience est lamentable!,sept. 2022, En famille,septembre 2022,False
1 contribution,Séjour moyen mais on y retourne toujours,3,Séjour moyen mais on y retourne toujours,sept. 2022,,septembre 2022,False
Dalhem Belgique14 contributions,Un week-end magique,5,Un week-end magique,sept. 2022, Voyage d'affaires,septembre 2022,False
4 contributions,Avis très mitigé ,3,Avis très mitigé ,,,septembre 2022,False
Les Herbiers France1 contribution,Mitigé…,2,Mitigé…,sept. 2022, En couple,septembre 2022,False
Courcelles Hainaut Belgium14 contributions,Déçu de l'état des attractions et du comportement des collaborateurs,3,Déçu de l'état des attractions et du comportement des collaborateurs,sept. 2022, En famille,septembre 2022,False
