pays,titre,note,commentaire,dateSejour,situation,dateCommentaire,photo
Gosselies Belgique336 contributions,Une première et une dernière,3,Une première et une dernière,déc. 2021, En famille,Écrit le 27 décembre 2021,True
Carrieres-sur-Seine France738 contributions,Visite au World Disney Studio,5,Visite au World Disney Studio,déc. 2021,,Écrit le 21 décembre 2021,True
Aurillac France33 contributions,Rapide passage,4,Rapide passage,déc. 2021, En famille,Écrit le 5 décembre 2021,True
Andernos-les-Bains France95 contributions,Super déçue par les temps d attente,1,Super déçue par les temps d attente,nov. 2021,,Écrit le 27 novembre 2021,False
3 contributions,Spectacle la reine des neiges une invitation musicale .,1,Spectacle la reine des neiges une invitation musicale .,nov. 2021, En famille,Écrit le 20 novembre 2021,False
Perpignan France9 contributions,Parc en rénovation partielle mais intéressant,4,Parc en rénovation partielle mais intéressant,nov. 2021,,Écrit le 15 novembre 2021,False
9 contributions,Super Parc,5,Super Parc,nov. 2021,,Écrit le 9 novembre 2021,False
Valence France135 contributions,Décevant.,2,Décevant.,oct. 2021,,Écrit le 5 novembre 2021,False
La Louviere Belgique27 contributions,Visite en famille,5,Visite en famille,nov. 2021, En famille,Écrit le 3 novembre 2021,False
Lyon France641 contributions,Sympathique!,4,Sympathique!,oct. 2021, En famille,Écrit le 31 octobre 2021,False
4 435 contributions,Nous avons été déçu de notre séjour dans ce parc...,3,Nous avons été déçu de notre séjour dans ce parc...,sept. 2021,,Écrit le 29 octobre 2021,False
Saint-Jean-d'Angély France361 contributions,Un très bon complément au 1er parc !,5,Un très bon complément au 1er parc !,oct. 2021, En famille,Écrit le 28 octobre 2021,True
Woluwe-Saint-Lambert Belgique24 contributions,Ça va …,3,Ça va …,oct. 2021,,Écrit le 9 octobre 2021,False
Lille France3 contributions,Magnifique,5,Magnifique,sept. 2021,,Écrit le 8 octobre 2021,False
Bruxelles Belgique295 contributions,Le meilleur des 2 parcs,5,Le meilleur des 2 parcs,févr. 2021,,Écrit le 8 octobre 2021,False
Noeux-les-Mines France9 contributions,Un deuxième parc très bien mais...,4,Un deuxième parc très bien mais...,févr. 2021,,Écrit le 7 octobre 2021,False
2 contributions,Nul,1,Nul,sept. 2021, En famille,Écrit le 1 octobre 2021,False
1 contribution,Expérience très moyenne,2,Expérience très moyenne,sept. 2021, Entre amis,Écrit le 27 septembre 2021,False
Berneval-le-Grand France3 contributions,Lamentable honteux,1,Lamentable honteux,sept. 2021, En famille,Écrit le 26 septembre 2021,False
3 contributions,Cauchemardesque,2,Cauchemardesque,sept. 2021, En famille,Écrit le 26 septembre 2021,False
Arpajon France19 contributions,Trop de palissades,3,Trop de palissades,sept. 2021,,Écrit le 24 septembre 2021,False
Paris France56 contributions,a oublier,3,a oublier,juil. 2021,,Écrit le 22 septembre 2021,False
7 contributions,Ne vaut pas le détour,1,Ne vaut pas le détour,sept. 2021,,Écrit le 18 septembre 2021,False
Los Angeles Californie8 contributions,Disney Mans pâtis c un beau parc y’a plein de manège y’a des manèges à sans sa timon et d’autres pour enfant c’est très,5,Disney Mans pâtis c un beau parc y’a plein de manège y’a des manèges à sans sa timon et d’autres pour enfant c’est très,mars 2021, En famille,Écrit le 15 septembre 2021,False
1 contribution,Ne vaut pas le déplacement contrairement au vrai parc Disney,2,Ne vaut pas le déplacement contrairement au vrai parc Disney,sept. 2021, En famille,Écrit le 12 septembre 2021,False
3 contributions,A FUIR,1,A FUIR,sept. 2021,,Écrit le 10 septembre 2021,False
Narbonne France122 contributions,Encore des travaux !,3,Encore des travaux !,août 2021,,Écrit le 8 septembre 2021,False
11 contributions,Moins d'attractions que dans l'autre parc et beaucoup d'attente. Dommage car très sympa sinon,3,Moins d'attractions que dans l'autre parc et beaucoup d'attente. Dommage car très sympa sinon,août 2021, En famille,Écrit le 1 septembre 2021,False
La Mure France26 contributions,du rêves et de l'attente,4,du rêves et de l'attente,août 2021,,Écrit le 27 août 2021,False
Salon-de-Provence France322 contributions,Manque d'attractivité ,4,Manque d'attractivité ,août 2021, En famille,Écrit le 27 août 2021,False
Mondeville France32 contributions,Déception,2,Déception,août 2021, Entre amis,Écrit le 27 août 2021,False
1 contribution,Trop cher pour le nombre d'activités à faire,2,Trop cher pour le nombre d'activités à faire,août 2021, En famille,Écrit le 27 août 2021,False
Lyon France19 contributions,Attendre 2024 et l'agrandissement du parc ! ,3,Attendre 2024 et l'agrandissement du parc ! ,août 2021, En famille,Écrit le 24 août 2021,False
Le Havre France80 contributions,Décevant,2,Décevant,août 2021, En famille,Écrit le 22 août 2021,False
